real_relevance,suspicious,unique_mac,src_count,dst_count,src2dst_bytes,dst2src_bytes,src2dst_packets,dst2src_packets,src2dst_duration_ms,dst2src_duration_ms,first_conn_time
4,true,28-0C-DD-AE-01-53,199,189,88057,6711,2616,3109,14115,39814,2021-01-06 13:12:42
3,true,DE-85-A2-6A-BC-90,74,172,43639,19579,1663,2802,19657,13150,2021-01-24 16:49:54
4,true,AE-A2-36-97-1C-3E,301,265,79529,13769,3616,1225,32363,41388,2021-01-24 17:51:47
4,true,02-93-85-AD-79-DF,245,125,51406,76399,1780,20,2622,44826,2021-01-14 23:31:51
3,true,49-D6-91-81-A7-66,49,70,30575,5948,4134,3509,48153,24915,2021-01-29 10:55:12
0,true,9D-8D-05-93-45-97,35,260,30278,23393,1217,2863,46590,2452,2021-01-21 18:00:12
0,true,54-8F-A3-A4-E7-6B,96,307,15588,76728,1305,1994,15668,7431,2021-01-16 17:39:41
5,true,FE-0F-6C-93-D6-04,239,37,21037,8323,1504,123,44816,29413,2021-01-11 02:18:12
0,true,B2-D5-83-A0-91-C0,193,72,62114,77170,3494,1056,21215,430,2021-01-11 21:24:41
5,true,5F-52-A4-E9-6E-C5,155,301,77280,51683,3388,3071,5013,19602,2021-01-16 03:35:54
